id,ancillaryImport,disMacro,elec,energy,equipRef,gas,groupRef,his,hisEnd,hisMode,hisSize,hisStart,kind,navName,point,sensor,siteRef,tz,unit,mod
@p:ubcv:r:250ecf04-dedc6e59 Sopron House Elec Main Meter Energy,✓,$equipRef $navName,✓,✓,@p:ubcv:r:250ecf04-674174bd Sopron House Elec Main Meter,"",@p:ubcv:r:250ecf04-d98bbade Sopron House Utilities,✓,2020-01-01T00:00:00-08:00 Los_Angeles,consumption,201700,2014-04-01T00:00:00-07:00 Los_Angeles,Number,Energy,✓,✓,@p:ubcv:r:24b8e8e3-8e050f83 Sopron House,Los_Angeles,kWh,2020-04-28T00:03:35.653Z UTC
@p:ubcv:r:252a61da-e2920d05 Sopron House Gas Main Meter Energy,✓,$equipRef $navName,"",✓,@p:ubcv:r:250ecf08-ee7f2185 Sopron House Gas Main Meter,✓,@p:ubcv:r:250ecf04-d98bbade Sopron House Utilities,✓,2019-06-01T00:00:00-07:00 Los_Angeles,consumption,154748,2014-04-01T00:15:00-07:00 Los_Angeles,Number,Energy,✓,✓,@p:ubcv:r:24b8e8e3-8e050f83 Sopron House,Los_Angeles,GJ,2020-04-28T00:03:35.992Z UTC
