id,air,ancillaryImport,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cooling,curStatus,disMacro,discharge,effective,elec,energy,enum,equipRef,exhaust,fan,gas,groupRef,heating,his,hisEnd,hisMode,hisSize,hisStart,hisStatus,hot,jci,kind,lastSynced,leaving,navName,noTagMatch,objectId,occ,outside,point,run,scheduleOcc,scheduled,sensor,siteRef,sp,tagTableRef,tags,temp,tlName,tz,unit,valve,water,zachName,zone,mod
@p:ubcv:r:23d51254-fd032f84 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT01.SUMP-ALM,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000822,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT01.SUMP-ALM,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Normal,Alarm",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-09T19:43:30-07:00 Los_Angeles,"",5,2019-03-01T07:44:27-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.781-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT01.SUMP-ALM,✓,BI3000820,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","",JCL-NAE14/N2-2.JCL-NAE14  UNT01.SUMP-ALM.Trend1,Los_Angeles,"","","",MISC-SJ.SUMP-ALARM (from St. John's College),"",2020-04-08T18:55:22.672Z UTC
@p:ubcv:r:250ecf07-c76cfaf4 St. John's College Elec Main Meter Energy,"",✓,"","","","","","","","","",$equipRef $navName,"","",✓,✓,"",@p:ubcv:r:250ecf07-d67dd158 St. John's College Elec Main Meter,"","","",@p:ubcv:r:250ecf07-bfc76568 St. John's College Utilities,"",✓,2020-01-01T00:00:00-08:00 Los_Angeles,consumption,201700,2014-04-01T00:00:00-07:00 Los_Angeles,"","","",Number,"","",Energy,"","","","",✓,"","","",✓,@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","","",Los_Angeles,kWh,"","","","",2020-04-28T00:03:35.985Z UTC
@p:ubcv:r:23d51254-539e9c89 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT04.DA-T,✓,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000896,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT04.DA-T,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,✓,"","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T20:20:41.79-07:00 Los_Angeles,"",Discharge Air Temp,"",AI3000895,"","",✓,"","","",✓,@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE14/N2-2.JCL-NAE14  UNT04.DA-T.Trend1,Los_Angeles,°C,"","",HRV-1.DA-T,"",2020-04-09T19:02:00.362Z UTC
@p:ubcv:r:23d51254-4f17e65b St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT03.CLG1-C,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000864,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT03.CLG1-C,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-11T22:00:10-07:00 Los_Angeles,"",221,2019-03-01T07:44:25-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.796-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT03.CLG1-C,✓,BO3000863,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","","",Los_Angeles,"","","","","",2020-04-08T18:55:21.416Z UTC
@p:ubcv:r:23d51254-73ba00ae St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT26.Parameters.HTG-CMD,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3001186,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT26.Parameters.HTG-CMD,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T20:20:41.809-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT26.Parameters.HTG-CMD,✓,AO3001185,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","",JCL-NAE14/N2-2.JCL-NAE14  UNT26.Parameters.HTG-CMD.Trend1,Los_Angeles,%,"","",FUR-4.HTG-CMD,"",2020-04-09T19:02:00.363Z UTC
@p:ubcv:r:23d51254-1118db1e St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT01.Parameters.OCC-S,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000802,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT01.Parameters.OCC-S,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Unoccupied,Occupied",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T06:30:03-07:00 Los_Angeles,"",988,2019-01-13T21:00:03-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.816-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT01.Parameters.OCC-S,✓,BI3000801,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","",JCL-NAE14/N2-2.JCL-NAE14  UNT01.Parameters.OCC-S.Trend1,Los_Angeles,"","","",HRV-2.OCC-S,"",2020-04-08T18:55:23.057Z UTC
@p:ubcv:r:23d51254-8d3f9a00 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT03.CLG2-C,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000866,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT03.CLG2-C,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-11T22:00:05-07:00 Los_Angeles,"",213,2019-03-01T07:44:25-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.824-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT03.CLG2-C,✓,BO3000865,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","","",Los_Angeles,"","","","","",2020-04-08T18:55:21.385Z UTC
@p:ubcv:r:23d51254-cef3f4f4 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT22.SF-S,✓,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3001063,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT22.SF-S,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,✓,"","","","Low,High",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"",✓,"",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-09T19:43:29-07:00 Los_Angeles,"",1886,2019-03-01T07:44:26-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.831-07:00 Los_Angeles,"",Discharge Fan Run Status,"",BI3001062,"","",✓,✓,"","",✓,@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE14/N2-2.JCL-NAE14  UNT22.SF-S.Trend1,Los_Angeles,"","","",HRV-4.SF-S,"",2020-04-08T18:52:42.931Z UTC
@p:ubcv:r:23d51254-58caa5d8 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT26.HTG1-C,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3001170,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT26.HTG1-C,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-09T19:43:32-07:00 Los_Angeles,"",177,2019-03-01T07:44:29-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.838-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT26.HTG1-C,✓,BO3001169,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","","",Los_Angeles,"","","","","",2020-04-08T18:52:50.022Z UTC
@p:ubcv:r:24edab6a-1d46c906 St. John's College Unsorted Points JCL-NAE14/Schedule.HRV-03 (room 1180),"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),SCH3001272,"",✓,JCL-NAE14/Schedule.HRV-03 (room 1180),"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",unknown,$equipRef $bmsName,"","","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2019-08-21T08:45:00-07:00 Los_Angeles,"",182,2019-08-19T12:26:00-07:00 Los_Angeles,"","",✓,Number,"","",Scheduled Occupancy,"","","","",✓,"",✓,"","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","","",Los_Angeles,"","","","","",2020-01-07T12:05:17.759Z UTC
@p:ubcv:r:23d51253-5ee5d40b St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT01.OCC-LED,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000799,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT01.OCC-LED,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-09T19:43:30-07:00 Los_Angeles,"",5,2019-03-01T07:44:27-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.85-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT01.OCC-LED,✓,BO3000798,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","","",Los_Angeles,"","","","","",2020-04-08T18:55:17.517Z UTC
@p:ubcv:r:23d51254-76f078a5 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT25.DA-T,✓,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3001147,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT25.DA-T,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,✓,"","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T20:20:41.857-07:00 Los_Angeles,"",Discharge Air Temp,"",AI3001146,"","",✓,"","","",✓,@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE14/N2-2.JCL-NAE14  UNT25.DA-T.Trend1,Los_Angeles,°C,"","",FUR-3.DA-T,"",2020-04-09T19:02:00.364Z UTC
@p:ubcv:r:23d51254-1c5177f7 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT23.DHWEWR-T,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3001100,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT23.DHWEWR-T,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T20:20:41.865-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT23.DHWEWR-T,✓,AI3001099,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","",JCL-NAE14/N2-2.JCL-NAE14  UNT23.DHWEWR-T.Trend1,Los_Angeles,°C,"","",DHW.DHWEWR-T,"",2020-04-09T19:02:00.365Z UTC
@p:ubcv:r:23d51254-5a980845 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT24.HTG1-C,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3001135,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT24.HTG1-C,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-09T19:43:31-07:00 Los_Angeles,"",777,2019-01-16T12:53:10-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.873-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT24.HTG1-C,✓,BO3001134,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","","",Los_Angeles,"","","","","",2020-04-08T18:52:51.888Z UTC
@p:ubcv:r:23d51253-dec5849a St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT01.HTG2-C,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000795,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT01.HTG2-C,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-09T19:43:30-07:00 Los_Angeles,"",757,2019-01-13T21:00:05-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.879-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT01.HTG2-C,✓,BO3000794,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","","",Los_Angeles,"","","","","",2020-04-08T18:55:17.251Z UTC
@p:ubcv:r:23d51254-44a551ab St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT02.HTG2-C,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000837,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT02.HTG2-C,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-09T19:57:02-07:00 Los_Angeles,"",196,2019-03-01T07:44:28-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.888-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT02.HTG2-C,✓,BO3000836,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","","",Los_Angeles,"","","","","",2020-04-08T18:55:22.743Z UTC
@p:ubcv:r:23d51254-c9a335c7 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT03.Parameters.ACLG-SP,✓,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000879,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT03.Parameters.ACLG-SP,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),✓,"",$equipRef $bmsName,"","","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T20:20:41.897-07:00 Los_Angeles,"",Zone Temp Cooling Sp,"",AI3000878,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,✓,@p:ubcv:r:23e65d3e-89385aab .+(\.|-| )ACLG-SP,"",✓,JCL-NAE14/N2-2.JCL-NAE14  UNT03.Parameters.ACLG-SP.Trend1,Los_Angeles,°C,"","",CUV-4.ACLG-SP,✓,2020-04-09T19:02:00.366Z UTC
@p:ubcv:r:23d51254-992a2ecb St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT03.Parameters.CLG-CMD,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000891,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT03.Parameters.CLG-CMD,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T20:20:41.904-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT03.Parameters.CLG-CMD,✓,AO3000890,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","",JCL-NAE14/N2-2.JCL-NAE14  UNT03.Parameters.CLG-CMD.Trend1,Los_Angeles,%,"","",CUV-4.CLG-CMD,"",2020-04-09T19:02:00.367Z UTC
@p:ubcv:r:23d51254-f7ace159 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT06.HTG1-C,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000986,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT06.HTG1-C,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T04:37:51-07:00 Los_Angeles,"",5866,2019-01-31T14:06:40-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.913-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT06.HTG1-C,✓,BO3000985,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","","",Los_Angeles,"","","","","",2020-04-08T18:50:06.054Z UTC
@p:ubcv:r:23d51254-e53cb102 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT22.HRV-SWE,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3001072,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT22.HRV-SWE,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-09T19:43:29-07:00 Los_Angeles,"",618,2019-03-01T07:44:26-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.92-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT22.HRV-SWE,✓,BO3001071,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","","",Los_Angeles,"","","","","",2020-04-08T18:52:43.127Z UTC
@p:ubcv:r:23d51254-0c25d974 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT06.SF-S,✓,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000982,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT06.SF-S,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,✓,"","","","Off,On",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"",✓,"",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T19:57:18-07:00 Los_Angeles,"",3273,2019-01-13T18:00:07-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.927-07:00 Los_Angeles,"",Discharge Fan Run Status,"",BI3000981,"","",✓,✓,"","",✓,@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE14/N2-2.JCL-NAE14  UNT06.SF-S.Trend1,Los_Angeles,"","","",AHU-1.SF-S,"",2020-04-08T18:50:08.088Z UTC
@p:ubcv:r:23d51254-898316fd St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT21.Parameters.DAT-SP,✓,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3001036,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT21.Parameters.DAT-SP,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,✓,"","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T20:20:41.935-07:00 Los_Angeles,"",Discharge Air Temp Sp,"",AO3001035,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,✓,@p:ubcv:r:23e65d3d-3f81ae2b .+(\.|-| )DAT-SP,"",✓,JCL-NAE14/N2-2.JCL-NAE14  UNT21.Parameters.DAT-SP.Trend1,Los_Angeles,°C,"","",HRV-3.DAT-SP,"",2020-04-09T19:02:00.368Z UTC
@p:ubcv:r:23d51253-f63fb963 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT01.OCC-S,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000788,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT01.OCC-S,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Unoccupied,Occupied",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-09T19:43:30-07:00 Los_Angeles,"",113,2019-01-17T09:59:56-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.943-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT01.OCC-S,✓,BI3000787,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","",JCL-NAE14/N2-2.JCL-NAE14  UNT01.OCC-S.Trend1,Los_Angeles,"","","",HRV-2.OCC-S,"",2020-04-08T18:55:17.168Z UTC
@p:ubcv:r:23d51254-13259274 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT01.SMP1-ALM,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000825,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT01.SMP1-ALM,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Normal,Alarm",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-09T19:43:30-07:00 Los_Angeles,"",5,2019-03-01T07:44:28-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.951-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT01.SMP1-ALM,✓,BI3000823,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","",JCL-NAE14/N2-2.JCL-NAE14  UNT01.SMP1-ALM.Trend1,Los_Angeles,"","","",MISC-SJ.SUMP-ALARM (from St. John's Colllege),"",2020-04-08T18:55:22.596Z UTC
@p:ubcv:r:23d51254-cb0aa585 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT04.BO - 4,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000913,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT04.BO - 4,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-09T19:43:29-07:00 Los_Angeles,"",7,2019-03-01T07:44:27-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.958-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT04.BO - 4,✓,BO3000912,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","","",Los_Angeles,"","","","","",2020-04-08T18:50:09.439Z UTC
