id,air,ancillaryImport,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cooling,curStatus,disMacro,discharge,effective,elec,energy,enum,equipRef,exhaust,fan,gas,groupRef,heating,his,hisEnd,hisMode,hisSize,hisStart,hisStatus,hot,jci,kind,lastSynced,leaving,navName,noTagMatch,objectId,occ,outside,point,run,scheduleOcc,scheduled,sensor,siteRef,sp,tagTableRef,tags,temp,tlName,tz,unit,valve,water,zachName,zone,mod
@p:ubcv:r:23d51253-48f55399 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT01.DA-T,✓,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000780,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT01.DA-T,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,✓,"","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T20:20:41.686-07:00 Los_Angeles,"",Discharge Air Temp,"",AI3000779,"","",✓,"","","",✓,@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE14/N2-2.JCL-NAE14  UNT01.DA-T.Trend1,Los_Angeles,°C,"","",HRV-2.DA-T,"",2020-04-09T19:02:00.353Z UTC
@p:ubcv:r:23d51254-57cff614 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT21.HTG-O,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3001026,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT21.HTG-O,✓,@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,✓,✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,✓,✓,Number,2020-05-12T20:20:41.694-07:00 Los_Angeles,"",Heating Valve Cmd,"",AO3001025,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE14/N2-2.JCL-NAE14  UNT21.HTG-O.Trend1,Los_Angeles,%,✓,✓,HRV-3.HTG-O,"",2020-04-09T19:02:00.354Z UTC
@p:ubcv:r:23d51254-79d7224f St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT02.DA-T,✓,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000827,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT02.DA-T,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,✓,"","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T20:20:41.704-07:00 Los_Angeles,"",Discharge Air Temp,"",AI3000826,"","",✓,"","","",✓,@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE14/N2-2.JCL-NAE14  UNT02.DA-T.Trend1,Los_Angeles,°C,"","",CUV-2.DA-T,"",2020-04-09T19:02:00.355Z UTC
@p:ubcv:r:23d51254-b9837bc3 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT25.HTG1-C,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3001151,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT25.HTG1-C,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-09T19:43:31-07:00 Los_Angeles,"",15,2019-03-01T07:44:28-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.711-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT25.HTG1-C,✓,BO3001150,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","","",Los_Angeles,"","","","","",2020-04-08T18:52:50.99Z UTC
@p:ubcv:r:23d51254-18be23f1 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT05.ZN-T,✓,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000930,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT05.ZN-T,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T20:20:41.718-07:00 Los_Angeles,"",Zone Temp,"",AI3000929,"","",✓,"","","",✓,@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE14/N2-2.JCL-NAE14  UNT05.ZN-T.Trend1,Los_Angeles,°C,"","",CUV-3.ZN-T,✓,2020-04-09T19:02:00.356Z UTC
@p:ubcv:r:23d51254-d59c3a2a St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT22.HRV4RA-T,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3001055,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT22.HRV4RA-T,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T20:20:41.726-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT22.HRV4RA-T,✓,AI3001054,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","",JCL-NAE14/N2-2.JCL-NAE14  UNT22.HRV4RA-T.Trend1,Los_Angeles,°C,"","",HRV-4.HRV4RA-T,"",2020-04-09T19:02:00.357Z UTC
@p:ubcv:r:23d51254-00ee0f5c St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT05.DA-T,✓,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000933,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT05.DA-T,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,✓,"","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T20:20:41.736-07:00 Los_Angeles,"",Discharge Air Temp,"",AI3000932,"","",✓,"","","",✓,@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE14/N2-2.JCL-NAE14  UNT05.DA-T.Trend1,Los_Angeles,°C,"","",CUV-3.DA-T,"",2020-04-09T19:02:00.358Z UTC
@p:ubcv:r:23d51254-91647d57 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT24.Parameters.HTG-CMD,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3001145,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT24.Parameters.HTG-CMD,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T20:20:41.744-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT24.Parameters.HTG-CMD,✓,AO3001144,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","",JCL-NAE14/N2-2.JCL-NAE14  UNT24.Parameters.HTG-CMD.Trend1,Los_Angeles,%,"","",FUR-2.HTG-CMD,"",2020-04-09T19:02:00.359Z UTC
@p:ubcv:r:23d51254-e3ba69ee St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT23.DHWWWR-T,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3001102,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT23.DHWWWR-T,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T20:20:41.751-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT23.DHWWWR-T,✓,AI3001101,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","",JCL-NAE14/N2-2.JCL-NAE14  UNT23.DHWWWR-T.Trend1,Los_Angeles,°C,"","",DHW.DHWWWR-T,"",2020-04-09T19:02:00.36Z UTC
@p:ubcv:r:23d51254-2f793daf St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT04.OCC-S,"","",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000898,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT04.OCC-S,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"","","","","Unoccupied,Occupied",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-09T19:43:29-07:00 Los_Angeles,"",194,2019-01-25T09:33:00-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.757-07:00 Los_Angeles,"",JCL-NAE14/N2-2.JCL-NAE14  UNT04.OCC-S,✓,BI3000897,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"","","","",JCL-NAE14/N2-2.JCL-NAE14  UNT04.OCC-S.Trend1,Los_Angeles,"","","",HRV-1.OCC-S,"",2020-04-08T18:55:21.184Z UTC
@p:ubcv:r:23d51254-9ad3c691 St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT06.Parameters.ZNT-SP,✓,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3000997,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT06.Parameters.ZNT-SP,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,"",✓,"","","",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"","","",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-12T20:15:00-07:00 Los_Angeles,"",45646,2019-01-17T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T20:20:41.765-07:00 Los_Angeles,"",Zone Temp Effective Sp,"",AO3000996,"","",✓,"","","","",@p:ubcv:r:23d5111e-a9d14c9e St. John's College,✓,@p:ubcv:r:23e65d3e-1fede0fa .+(\.|-| )ZNT-SP,"",✓,JCL-NAE14/N2-2.JCL-NAE14  UNT06.Parameters.ZNT-SP.Trend1,Los_Angeles,°C,"","",AHU-1.ZNT-SP,✓,2020-04-09T19:02:00.361Z UTC
@p:ubcv:r:23d51254-1f4eeb8c St. John's College Unsorted Points JCL-NAE14/N2-2.JCL-NAE14  UNT21.SF-S,✓,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"",TL3001024,✓,JCL-NAE14/N2-2.JCL-NAE14  UNT21.SF-S,"",@p:ubcv:r:21e6b216-ececd4c9 SJC (NAE-14),"","",$equipRef $bmsName,✓,"","","","Off,On",@p:ubcv:r:23d5124a-f2b48ea7 St. John's College Unsorted Points,"",✓,"",@p:ubcv:r:23d5124a-1183ecf4 St. John's College Unsorted Points,"",✓,2020-05-09T19:43:29-07:00 Los_Angeles,"",16,2019-03-01T07:44:26-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T20:20:41.773-07:00 Los_Angeles,"",Discharge Fan Run Status,"",BI3001023,"","",✓,✓,"","",✓,@p:ubcv:r:23d5111e-a9d14c9e St. John's College,"",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE14/N2-2.JCL-NAE14  UNT21.SF-S.Trend1,Los_Angeles,"","","",HRV-3.SF-S,"",2020-04-08T18:52:44.268Z UTC
