id,air,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,bypass,chilled,cmd,connRef,damper,disMacro,discharge,enable,entering,enum,equipName,equipRef,esc,exhaust,fan,groupRef,heating,his,hisEnd,hisSize,hisStart,hisStatus,hot,kind,lastSynced,leaving,navName,noTagMatch,objectId,outside,point,pump,run,sensor,siteRef,sp,speed,tagTableRef,temp,tlName,tz,unit,valve,water,zone,mod
@p:ubcv:r:2512d579-942d7e96 Marine Drive Res #1 Unsorted Points M4_DRY3_4_A,"",@p:ubcv:r:2512d37f-39e58641 MDR1 M4 LAUNDRY (651004),TL4,✓,M4_DRY3_4_A,"","","",@p:ubcv:r:2512d37f-39e58641 MDR1 M4 LAUNDRY (651004),"",$equipRef $bmsName,"","","","","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T14:33:24-07:00 Los_Angeles,15242,2019-09-13T13:37:56-07:00 Los_Angeles,ok,"",Number,2020-05-12T15:38:55.419-07:00 Los_Angeles,"",M4_DRY3_4_A,✓,AI4,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","","","",M4_DRY3_4_A_POLL_TL,Los_Angeles,A,"","","",2020-04-09T19:02:29.346Z UTC
@p:ubcv:r:2512d552-9e0e40a0 Marine Drive Res #1 Unsorted Points M_DHW_BLR2_RW-T,"",@p:ubcv:r:2512d02b-45514672 MDR1 377.0 MARINE DRIVE RESIDENCE (65100),TL84,✓,M_DHW_BLR2_RW-T,"","","",@p:ubcv:r:2512d02b-45514672 MDR1 377.0 MARINE DRIVE RESIDENCE (65100),"",$equipRef $bmsName,"","","","","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T14:34:08-07:00 Los_Angeles,16539,2019-09-13T13:33:59-07:00 Los_Angeles,ok,"",Number,2020-05-12T15:41:24.141-07:00 Los_Angeles,"",M_DHW_BLR2_RW-T,✓,AI1604,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","","","",M_DHW_BLR2_RWT_POLL_TL,Los_Angeles,°C,"","","",2020-04-09T19:02:29.288Z UTC
@p:ubcv:r:2512d579-93749c29 Marine Drive Res #1 Unsorted Points M4_LDRY_BYP_DMP_AV,"",@p:ubcv:r:2512d37f-39e58641 MDR1 M4 LAUNDRY (651004),TL14,✓,M4_LDRY_BYP_DMP_AV,"","","",@p:ubcv:r:2512d37f-39e58641 MDR1 M4 LAUNDRY (651004),"",$equipRef $bmsName,"","","","","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T14:33:24-07:00 Los_Angeles,15242,2019-09-13T13:37:56-07:00 Los_Angeles,ok,"",Number,2020-05-12T15:38:55.669-07:00 Los_Angeles,"",M4_LDRY_BYP_DMP_AV,✓,AV4,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","","","",M4_LDRY_BYP_DMP_AV_POLL_TL,Los_Angeles,%,"","","",2020-04-09T19:02:29.347Z UTC
@p:ubcv:r:2512d552-f146a7c0 Marine Drive Res #1 Unsorted Points M_DHW_BLR2_STG3,"",@p:ubcv:r:2512d02b-45514672 MDR1 377.0 MARINE DRIVE RESIDENCE (65100),TL65,✓,M_DHW_BLR2_STG3,"","","",@p:ubcv:r:2512d02b-45514672 MDR1 377.0 MARINE DRIVE RESIDENCE (65100),"",$equipRef $bmsName,"","","","OFF,ON","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T14:16:13-07:00 Los_Angeles,735,2019-09-13T09:36:23-07:00 Los_Angeles,ok,"",Bool,2020-05-12T15:41:24.145-07:00 Los_Angeles,"",M_DHW_BLR2_STG3,✓,BO1502,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","","","",M_DHW_BLR2_STG3_COV_TL,Los_Angeles,"","","","",2020-04-08T18:54:20.281Z UTC
@p:ubcv:r:2512d563-3c7a16fe Marine Drive Res #1 Unsorted Points M_AHU104_HCP,"",@p:ubcv:r:2512d272-c1a3e547 MDR1 AHU102 AHU103 AHU104 (651001),TL29,✓,M_AHU104_HCP,"","","",@p:ubcv:r:2512d272-c1a3e547 MDR1 AHU102 AHU103 AHU104 (651001),"",$equipRef $bmsName,"","","","OFF,ON","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-11T20:18:38-07:00 Los_Angeles,115,2019-09-12T02:46:49-07:00 Los_Angeles,ok,"",Bool,2020-05-12T15:36:33.782-07:00 Los_Angeles,"",M_AHU104_HCP,✓,BO8,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","","","",M_AHU104_HCP_COV_TL,Los_Angeles,"","","","",2020-04-08T18:53:06.675Z UTC
@p:ubcv:r:2512d56c-611820de Marine Drive Res #1 Unsorted Points M_WWHP2_DHW_RWT,"",@p:ubcv:r:2512d356-2acd116d MDR1 WWHP (651003),TL2,✓,M_WWHP2_DHW_RWT,"","","",@p:ubcv:r:2512d356-2acd116d MDR1 WWHP (651003),"",$equipRef $bmsName,"","",✓,"","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T14:33:25-07:00 Los_Angeles,15241,2019-09-13T13:37:43-07:00 Los_Angeles,ok,✓,Number,2020-05-12T15:37:58.366-07:00 Los_Angeles,"",Entering Hot Water Temp,"",AI2,"",✓,"","",✓,@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","",@p:ubcv:r:24140596-84478497 .+_DHW_RWT(_TL)?,✓,M_WWHP2_DHW_RWT_POLL_TL,Los_Angeles,°C,"",✓,"",2020-04-09T19:02:29.333Z UTC
@p:ubcv:r:2512d589-8712eeec Marine Drive Res #1 Unsorted Points M5_LDRY_SF508_S_BV,✓,@p:ubcv:r:2512d37c-0e69997b MDR1 M5 LAUNDRY (651005),TL18,✓,M5_LDRY_SF508_S_BV,"","","",@p:ubcv:r:2512d37c-0e69997b MDR1 M5 LAUNDRY (651005),"",$equipRef $bmsName,✓,"","","OFF,ON","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"",✓,@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-08T10:42:17-07:00 Los_Angeles,38,2019-08-14T12:24:42-07:00 Los_Angeles,ok,"",Bool,2020-05-12T15:40:31.601-07:00 Los_Angeles,"",Discharge Fan Run Status,"",BV1,"",✓,"",✓,✓,@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","",@p:ubcv:r:23e65d0f-5568e722 .+_SF(\d+)?(_(S|N)\d_\d+)?_F?S(_BV)?(_TL)?,"",M5_LDRY_SF508_S_BV_COV_TL,Los_Angeles,"","","","",2020-04-08T18:53:25.738Z UTC
@p:ubcv:r:2512d589-e99a624b Marine Drive Res #1 Unsorted Points M5_DRY11_12_A,"",@p:ubcv:r:2512d37c-0e69997b MDR1 M5 LAUNDRY (651005),TL2,✓,M5_DRY11_12_A,"","","",@p:ubcv:r:2512d37c-0e69997b MDR1 M5 LAUNDRY (651005),"",$equipRef $bmsName,"","","","","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T14:38:05-07:00 Los_Angeles,15271,2019-09-13T13:28:41-07:00 Los_Angeles,ok,"",Number,2020-05-12T15:40:33.419-07:00 Los_Angeles,"",M5_DRY11_12_A,✓,AI2,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","","","",M5_DRY11_12_A_POLL_TL,Los_Angeles,A,"","","",2020-04-09T19:02:29.36Z UTC
@p:ubcv:r:2512d589-e9a7b00a Marine Drive Res #1 Unsorted Points M5_LDRY_BYP,✓,@p:ubcv:r:2512d37c-0e69997b MDR1 M5 LAUNDRY (651005),TL9,✓,M5_LDRY_BYP,✓,"",✓,@p:ubcv:r:2512d37c-0e69997b MDR1 M5 LAUNDRY (651005),✓,$equipRef $bmsName,"","","","","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T14:38:09-07:00 Los_Angeles,15271,2019-09-13T13:28:45-07:00 Los_Angeles,ok,"",Number,2020-05-12T15:40:35.525-07:00 Los_Angeles,"",Bypass Air Damper Cmd,"",AO4,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","",@p:ubcv:r:23ee3be0-8e2f043f .+_BY?P(_DMP)?(_TL)?,"",M5_LDRY_BYP_DMP_POLL_TL,Los_Angeles,%,"","","",2020-04-09T19:02:29.361Z UTC
@p:ubcv:r:2512d56c-6ab67cbf Marine Drive Res #1 Unsorted Points M_WWHP_DHW_SWT_AV,"",@p:ubcv:r:2512d356-2acd116d MDR1 WWHP (651003),TL6,✓,M_WWHP_DHW_SWT_AV,"","","",@p:ubcv:r:2512d356-2acd116d MDR1 WWHP (651003),"",$equipRef $bmsName,"","","","","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T14:33:25-07:00 Los_Angeles,15241,2019-09-13T13:37:45-07:00 Los_Angeles,ok,"",Number,2020-05-12T15:37:58.595-07:00 Los_Angeles,"",M_WWHP_DHW_SWT_AV,✓,AV2,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","","","",M_WWHP_DHW_SWT_AV_POLL_TL,Los_Angeles,°C,"","","",2020-04-09T19:02:29.334Z UTC
