id,ancillaryImport,disMacro,elec,energy,equipRef,gas,groupRef,his,hisEnd,hisMode,hisSize,hisStart,kind,navName,point,sensor,siteRef,tz,unit,mod
@p:ubcv:r:252a61e6-3fa8960f Fraser Hall - Student Rental Housing Gas Main Meter Energy,✓,$equipRef $navName,"",✓,@p:ubcv:r:250ecf08-ada84822 Fraser Hall - Student Rental Housing Gas Main Meter,✓,@p:ubcv:r:250ecf08-6fea7055 Fraser Hall - Student Rental Housing Utilities,✓,2020-01-01T00:00:00-08:00 Los_Angeles,consumption,151972,2014-04-01T00:15:00-07:00 Los_Angeles,Number,Energy,✓,✓,@p:ubcv:r:24b8e8e3-e9f88ac5 Fraser Hall - Student Rental Housing,Los_Angeles,GJ,2020-04-28T00:03:36.195Z UTC
@p:ubcv:r:2527d65b-b4f7a0fd Fraser Hall - Student Rental Housing Elec Main Meter Energy,✓,$equipRef $navName,✓,✓,@p:ubcv:r:2527d65b-32789136 Fraser Hall - Student Rental Housing Elec Main Meter,"",@p:ubcv:r:250ecf08-6fea7055 Fraser Hall - Student Rental Housing Utilities,✓,2019-08-31T23:45:00-07:00 Los_Angeles,consumption,113952,2016-06-01T00:00:00-07:00 Los_Angeles,Number,Energy,✓,✓,@p:ubcv:r:24b8e8e3-e9f88ac5 Fraser Hall - Student Rental Housing,Los_Angeles,kWh,2020-04-28T00:03:35.279Z UTC
