,uniqueId,max,min,mean,std,update_rate,endUseLabel,energy_no_energy,energy_yes_energy,sensor_no_sensor,sensor_yes_sensor,equipRef_Air_Equip,equipRef_Cooling,equipRef_Heating,equipRef_LEED,navName_Energy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,AHU-01 SF Air Systems Energy AHU1_SF_VFD_PWR(kWh),0.00017732840732246404,0.00017581229425757736,0.0001765703532681694,0.004027175015596063,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6990590272986414e-06,-4.51977685574541e-06,-6.69543210563742e-06,-2.7780641054114516e-06,-5.697806172116249e-06,-6.766764771764064e-06,-2.9067423603487226e-06,-4.754879123109631e-06,-2.0264668312161867e-07,-3.3210381591851187e-06,-9.340753496506751e-06,2.105610995542583e-05,-2.7780641054114524e-06,-1.0162716945764475e-05,7.240111618358335e-06,-5.467095634299562e-06,-4.6165599937161645e-07,2.6181899047537013e-06,-6.687994186616012e-06,-4.731115151236833e-06,-6.082279517695071e-06,-2.7780641054114516e-06,-6.000965850691073e-06,-6.724639986827307e-06,-2.79269657751914e-06,-3.554194129222258e-06,4.2495012313334493e-07,-6.737967555358146e-06,-4.4645105862923605e-06,-7.543678379977997e-06,-2.7780641054114516e-06,-4.041347090249733e-06,-6.804283015798075e-06,-2.0214187710187667e-06,-5.6630651930107136e-06,-4.835538893888311e-07,-1.0998962722823236e-06,1.52278108979569e-06,0.0,0.00020811537627008335,-2.2856996485652733e-07,1.52278108979569e-06,0.0,-1.0998962722823236e-06,-1.0998962722823236e-06,-3.5576622089322336e-05,-9.105257320641352e-07,-0.0004807198227020847,-0.0004628501083502708,-5.5343807677793504e-05,0.0,-0.0008635627046656207,-2.2856996485652733e-07,-2.2856996485652733e-07,0.0,-2.114425956329014e-05,-9.105257320641352e-07,0.009614290256051664,-0.00032991843934179803,1.52278108979569e-06,0.00039275274579237405,0.00011587917568422383,-1.2083630076621522e-06,-9.105257320641352e-07,0.0,3.209070585151807e-05,5.8211525846444766e-05,0.009614290256051664,0.0009556712495071637,4.415230448153152e-05,-3.278359506264212e-06,0.009614290256051664,-0.00017314861585762692,-7.083713344776293e-06,-6.912726156358145e-06,-8.604753317557564e-07,-2.4672556377359983e-06,-2.7780641054114516e-06,-9.182337719212174e-06,0.009614290256051664,-1.0965196954334329e-06,1.0413867678112426e-05,-9.132330632339168e-06,0.009614290256051664,0.009614290256051664,0.009614290256051664,-7.083713344776293e-06,1.9203831891773104e-05,0.009614290256051664,-6.956414939972369e-06,-7.019992342435271e-06,-4.01040042181725e-06
1,AHU-02 SF Air Systems Energy AHU2_SF_VFD_PWR(kWh),0.00015496490657575297,0.00015341468496834676,0.00015418996790907545,0.004095928451474677,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6990590272986414e-06,-4.51977685574541e-06,-6.69543210563742e-06,-2.7780641054114516e-06,-5.697806172116249e-06,-6.766764771764064e-06,-2.9067423603487226e-06,-4.754879123109631e-06,-2.0264668312161867e-07,-3.3210381591851187e-06,-9.340753496506751e-06,2.105610995542583e-05,-2.7780641054114524e-06,-1.0162716945764475e-05,7.240111618358335e-06,-5.467095634299562e-06,-4.6165599937161645e-07,2.6181899047537013e-06,-6.687994186616012e-06,-4.731115151236833e-06,-6.082279517695071e-06,-2.7780641054114516e-06,-6.000965850691073e-06,-6.724639986827307e-06,-2.79269657751914e-06,-3.554194129222258e-06,4.2495012313334493e-07,-6.737967555358146e-06,-4.4645105862923605e-06,-7.543678379977997e-06,-2.7780641054114516e-06,-4.041347090249733e-06,-6.804283015798075e-06,-2.0214187710187667e-06,-5.6630651930107136e-06,-4.835538893888311e-07,-1.0998962722823236e-06,1.52278108979569e-06,0.0,0.00020811537627008335,-2.2856996485652733e-07,1.52278108979569e-06,0.0,-1.0998962722823236e-06,-1.0998962722823236e-06,-3.5576622089322336e-05,-9.105257320641352e-07,-0.0004807198227020847,-0.0004628501083502708,-5.5343807677793504e-05,0.0,-0.0008635627046656207,-2.2856996485652733e-07,-2.2856996485652733e-07,0.0,-2.114425956329014e-05,-9.105257320641352e-07,0.009614290256051664,-0.00032991843934179803,1.52278108979569e-06,0.00039275274579237405,0.00011587917568422383,-1.2083630076621522e-06,-9.105257320641352e-07,0.0,3.209070585151807e-05,5.8211525846444766e-05,0.009614290256051664,0.0009556712495071637,4.415230448153152e-05,-3.278359506264212e-06,0.009614290256051664,-0.00017314861585762692,-7.083713344776293e-06,-6.912726156358145e-06,-8.604753317557564e-07,-2.4672556377359983e-06,-2.7780641054114516e-06,-9.182337719212174e-06,0.009614290256051664,-1.0965196954334329e-06,1.0413867678112426e-05,-9.132330632339168e-06,0.009614290256051664,0.009614290256051664,0.009614290256051664,-7.083713344776293e-06,1.9203831891773104e-05,0.009614290256051664,-6.956414939972369e-06,-7.019992342435271e-06,-4.01040042181725e-06
2,AHU-03 SF Air Systems Energy AHU3_SF_VFD_PWR(kWh),0.0007081033488237587,0.0007039866234463711,0.0007060426824147057,0.01113071519167384,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6990590272986414e-06,-4.51977685574541e-06,-6.69543210563742e-06,-2.7780641054114516e-06,-5.697806172116249e-06,-6.766764771764064e-06,-2.9067423603487226e-06,-4.754879123109631e-06,-2.0264668312161867e-07,-3.3210381591851187e-06,-9.340753496506751e-06,2.105610995542583e-05,-2.7780641054114524e-06,-1.0162716945764475e-05,7.240111618358335e-06,-5.467095634299562e-06,-4.6165599937161645e-07,2.6181899047537013e-06,-6.687994186616012e-06,-4.731115151236833e-06,-6.082279517695071e-06,-2.7780641054114516e-06,-6.000965850691073e-06,-6.724639986827307e-06,-2.79269657751914e-06,-3.554194129222258e-06,4.2495012313334493e-07,-6.737967555358146e-06,-4.4645105862923605e-06,-7.543678379977997e-06,-2.7780641054114516e-06,-4.041347090249733e-06,-6.804283015798075e-06,-2.0214187710187667e-06,-5.6630651930107136e-06,-4.835538893888311e-07,-1.0998962722823236e-06,1.52278108979569e-06,0.0,0.00020811537627008335,-2.2856996485652733e-07,1.52278108979569e-06,0.0,-1.0998962722823236e-06,-1.0998962722823236e-06,-3.5576622089322336e-05,-9.105257320641352e-07,-0.0004807198227020847,-0.0004628501083502708,-5.5343807677793504e-05,0.0,-0.0008635627046656207,-2.2856996485652733e-07,-2.2856996485652733e-07,0.0,-2.114425956329014e-05,-9.105257320641352e-07,0.009614290256051664,-0.00032991843934179803,1.52278108979569e-06,0.00039275274579237405,0.00011587917568422383,-1.2083630076621522e-06,-9.105257320641352e-07,0.0,3.209070585151807e-05,5.8211525846444766e-05,0.009614290256051664,0.0009556712495071637,4.415230448153152e-05,-3.278359506264212e-06,0.009614290256051664,-0.00017314861585762692,-7.083713344776293e-06,-6.912726156358145e-06,-8.604753317557564e-07,-2.4672556377359983e-06,-2.7780641054114516e-06,-9.182337719212174e-06,0.009614290256051664,-1.0965196954334329e-06,1.0413867678112426e-05,-9.132330632339168e-06,0.009614290256051664,0.009614290256051664,0.009614290256051664,-7.083713344776293e-06,1.9203831891773104e-05,0.009614290256051664,-6.956414939972369e-06,-7.019992342435271e-06,-4.01040042181725e-06
3,AHU-04 SF Air Systems Energy AHU4_SF_VFD_PWR(kWh),0.0007040916635091738,0.0007000372101068646,0.0007020624494021347,0.010972321189673237,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6990590272986414e-06,-4.51977685574541e-06,-6.69543210563742e-06,-2.7780641054114516e-06,-5.697806172116249e-06,-6.766764771764064e-06,-2.9067423603487226e-06,-4.754879123109631e-06,-2.0264668312161867e-07,-3.3210381591851187e-06,-9.340753496506751e-06,2.105610995542583e-05,-2.7780641054114524e-06,-1.0162716945764475e-05,7.240111618358335e-06,-5.467095634299562e-06,-4.6165599937161645e-07,2.6181899047537013e-06,-6.687994186616012e-06,-4.731115151236833e-06,-6.082279517695071e-06,-2.7780641054114516e-06,-6.000965850691073e-06,-6.724639986827307e-06,-2.79269657751914e-06,-3.554194129222258e-06,4.2495012313334493e-07,-6.737967555358146e-06,-4.4645105862923605e-06,-7.543678379977997e-06,-2.7780641054114516e-06,-4.041347090249733e-06,-6.804283015798075e-06,-2.0214187710187667e-06,-5.6630651930107136e-06,-4.835538893888311e-07,-1.0998962722823236e-06,1.52278108979569e-06,0.0,0.00020811537627008335,-2.2856996485652733e-07,1.52278108979569e-06,0.0,-1.0998962722823236e-06,-1.0998962722823236e-06,-3.5576622089322336e-05,-9.105257320641352e-07,-0.0004807198227020847,-0.0004628501083502708,-5.5343807677793504e-05,0.0,-0.0008635627046656207,-2.2856996485652733e-07,-2.2856996485652733e-07,0.0,-2.114425956329014e-05,-9.105257320641352e-07,0.009614290256051664,-0.00032991843934179803,1.52278108979569e-06,0.00039275274579237405,0.00011587917568422383,-1.2083630076621522e-06,-9.105257320641352e-07,0.0,3.209070585151807e-05,5.8211525846444766e-05,0.009614290256051664,0.0009556712495071637,4.415230448153152e-05,-3.278359506264212e-06,0.009614290256051664,-0.00017314861585762692,-7.083713344776293e-06,-6.912726156358145e-06,-8.604753317557564e-07,-2.4672556377359983e-06,-2.7780641054114516e-06,-9.182337719212174e-06,0.009614290256051664,-1.0965196954334329e-06,1.0413867678112426e-05,-9.132330632339168e-06,0.009614290256051664,0.009614290256051664,0.009614290256051664,-7.083713344776293e-06,1.9203831891773104e-05,0.009614290256051664,-6.956414939972369e-06,-7.019992342435271e-06,-4.01040042181725e-06
4,AHU-05 SF Air Systems Energy AHU5_SF_VFD_PWR(kWh),0.0,0.0,0.0,0.0,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6990590272986414e-06,-4.51977685574541e-06,-6.69543210563742e-06,-2.7780641054114516e-06,-5.697806172116249e-06,-6.766764771764064e-06,-2.9067423603487226e-06,-4.754879123109631e-06,-2.0264668312161867e-07,-3.3210381591851187e-06,-9.340753496506751e-06,2.105610995542583e-05,-2.7780641054114524e-06,-1.0162716945764475e-05,7.240111618358335e-06,-5.467095634299562e-06,-4.6165599937161645e-07,2.6181899047537013e-06,-6.687994186616012e-06,-4.731115151236833e-06,-6.082279517695071e-06,-2.7780641054114516e-06,-6.000965850691073e-06,-6.724639986827307e-06,-2.79269657751914e-06,-3.554194129222258e-06,4.2495012313334493e-07,-6.737967555358146e-06,-4.4645105862923605e-06,-7.543678379977997e-06,-2.7780641054114516e-06,-4.041347090249733e-06,-6.804283015798075e-06,-2.0214187710187667e-06,-5.6630651930107136e-06,-4.835538893888311e-07,-1.0998962722823236e-06,1.52278108979569e-06,0.0,0.00020811537627008335,-2.2856996485652733e-07,1.52278108979569e-06,0.0,-1.0998962722823236e-06,-1.0998962722823236e-06,-3.5576622089322336e-05,-9.105257320641352e-07,-0.0004807198227020847,-0.0004628501083502708,-5.5343807677793504e-05,0.0,-0.0008635627046656207,-2.2856996485652733e-07,-2.2856996485652733e-07,0.0,-2.114425956329014e-05,-9.105257320641352e-07,0.009614290256051664,-0.00032991843934179803,1.52278108979569e-06,0.00039275274579237405,0.00011587917568422383,-1.2083630076621522e-06,-9.105257320641352e-07,0.0,3.209070585151807e-05,5.8211525846444766e-05,0.009614290256051664,0.0009556712495071637,4.415230448153152e-05,-3.278359506264212e-06,0.009614290256051664,-0.00017314861585762692,-7.083713344776293e-06,-6.912726156358145e-06,-8.604753317557564e-07,-2.4672556377359983e-06,-2.7780641054114516e-06,-9.182337719212174e-06,0.009614290256051664,-1.0965196954334329e-06,1.0413867678112426e-05,-9.132330632339168e-06,0.009614290256051664,0.009614290256051664,0.009614290256051664,-7.083713344776293e-06,1.9203831891773104e-05,0.009614290256051664,-6.956414939972369e-06,-7.019992342435271e-06,-4.01040042181725e-06
5,AHU-06 SF Air Systems Energy AHU6_SF_VFD_PWR(kWh),5.338797108135068e-05,5.31544351490791e-05,5.327177703254128e-05,0.0006669565361569986,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6990590272986414e-06,-4.51977685574541e-06,-6.69543210563742e-06,-2.7780641054114516e-06,-5.697806172116249e-06,-6.766764771764064e-06,-2.9067423603487226e-06,-4.754879123109631e-06,-2.0264668312161867e-07,-3.3210381591851187e-06,-9.340753496506751e-06,2.105610995542583e-05,-2.7780641054114524e-06,-1.0162716945764475e-05,7.240111618358335e-06,-5.467095634299562e-06,-4.6165599937161645e-07,2.6181899047537013e-06,-6.687994186616012e-06,-4.731115151236833e-06,-6.082279517695071e-06,-2.7780641054114516e-06,-6.000965850691073e-06,-6.724639986827307e-06,-2.79269657751914e-06,-3.554194129222258e-06,4.2495012313334493e-07,-6.737967555358146e-06,-4.4645105862923605e-06,-7.543678379977997e-06,-2.7780641054114516e-06,-4.041347090249733e-06,-6.804283015798075e-06,-2.0214187710187667e-06,-5.6630651930107136e-06,-4.835538893888311e-07,-1.0998962722823236e-06,1.52278108979569e-06,0.0,0.00020811537627008335,-2.2856996485652733e-07,1.52278108979569e-06,0.0,-1.0998962722823236e-06,-1.0998962722823236e-06,-3.5576622089322336e-05,-9.105257320641352e-07,-0.0004807198227020847,-0.0004628501083502708,-5.5343807677793504e-05,0.0,-0.0008635627046656207,-2.2856996485652733e-07,-2.2856996485652733e-07,0.0,-2.114425956329014e-05,-9.105257320641352e-07,0.009614290256051664,-0.00032991843934179803,1.52278108979569e-06,0.00039275274579237405,0.00011587917568422383,-1.2083630076621522e-06,-9.105257320641352e-07,0.0,3.209070585151807e-05,5.8211525846444766e-05,0.009614290256051664,0.0009556712495071637,4.415230448153152e-05,-3.278359506264212e-06,0.009614290256051664,-0.00017314861585762692,-7.083713344776293e-06,-6.912726156358145e-06,-8.604753317557564e-07,-2.4672556377359983e-06,-2.7780641054114516e-06,-9.182337719212174e-06,0.009614290256051664,-1.0965196954334329e-06,1.0413867678112426e-05,-9.132330632339168e-06,0.009614290256051664,0.009614290256051664,0.009614290256051664,-7.083713344776293e-06,1.9203831891773104e-05,0.009614290256051664,-6.956414939972369e-06,-7.019992342435271e-06,-4.01040042181725e-06
6,AHU-07 SF Air Systems Energy AHU7_SF_VFD_PWR(kWh),4.483331674472946e-05,4.4671678691357786e-05,4.475210277382889e-05,0.0004633744195003964,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6990590272986414e-06,-4.51977685574541e-06,-6.69543210563742e-06,-2.7780641054114516e-06,-5.697806172116249e-06,-6.766764771764064e-06,-2.9067423603487226e-06,-4.754879123109631e-06,-2.0264668312161867e-07,-3.3210381591851187e-06,-9.340753496506751e-06,2.105610995542583e-05,-2.7780641054114524e-06,-1.0162716945764475e-05,7.240111618358335e-06,-5.467095634299562e-06,-4.6165599937161645e-07,2.6181899047537013e-06,-6.687994186616012e-06,-4.731115151236833e-06,-6.082279517695071e-06,-2.7780641054114516e-06,-6.000965850691073e-06,-6.724639986827307e-06,-2.79269657751914e-06,-3.554194129222258e-06,4.2495012313334493e-07,-6.737967555358146e-06,-4.4645105862923605e-06,-7.543678379977997e-06,-2.7780641054114516e-06,-4.041347090249733e-06,-6.804283015798075e-06,-2.0214187710187667e-06,-5.6630651930107136e-06,-4.835538893888311e-07,-1.0998962722823236e-06,1.52278108979569e-06,0.0,0.00020811537627008335,-2.2856996485652733e-07,1.52278108979569e-06,0.0,-1.0998962722823236e-06,-1.0998962722823236e-06,-3.5576622089322336e-05,-9.105257320641352e-07,-0.0004807198227020847,-0.0004628501083502708,-5.5343807677793504e-05,0.0,-0.0008635627046656207,-2.2856996485652733e-07,-2.2856996485652733e-07,0.0,-2.114425956329014e-05,-9.105257320641352e-07,0.009614290256051664,-0.00032991843934179803,1.52278108979569e-06,0.00039275274579237405,0.00011587917568422383,-1.2083630076621522e-06,-9.105257320641352e-07,0.0,3.209070585151807e-05,5.8211525846444766e-05,0.009614290256051664,0.0009556712495071637,4.415230448153152e-05,-3.278359506264212e-06,0.009614290256051664,-0.00017314861585762692,-7.083713344776293e-06,-6.912726156358145e-06,-8.604753317557564e-07,-2.4672556377359983e-06,-2.7780641054114516e-06,-9.182337719212174e-06,0.009614290256051664,-1.0965196954334329e-06,1.0413867678112426e-05,-9.132330632339168e-06,0.009614290256051664,0.009614290256051664,0.009614290256051664,-7.083713344776293e-06,1.9203831891773104e-05,0.009614290256051664,-6.956414939972369e-06,-7.019992342435271e-06,-4.01040042181725e-06
7,AHU-08 SF Air Systems Energy AHU8_SF_VFD_PWR(kWh),6.46585068730875e-05,6.447720477838358e-05,6.4553799548309e-05,0.0005606161617072923,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6990590272986414e-06,-4.51977685574541e-06,-6.69543210563742e-06,-2.7780641054114516e-06,-5.697806172116249e-06,-6.766764771764064e-06,-2.9067423603487226e-06,-4.754879123109631e-06,-2.0264668312161867e-07,-3.3210381591851187e-06,-9.340753496506751e-06,2.105610995542583e-05,-2.7780641054114524e-06,-1.0162716945764475e-05,7.240111618358335e-06,-5.467095634299562e-06,-4.6165599937161645e-07,2.6181899047537013e-06,-6.687994186616012e-06,-4.731115151236833e-06,-6.082279517695071e-06,-2.7780641054114516e-06,-6.000965850691073e-06,-6.724639986827307e-06,-2.79269657751914e-06,-3.554194129222258e-06,4.2495012313334493e-07,-6.737967555358146e-06,-4.4645105862923605e-06,-7.543678379977997e-06,-2.7780641054114516e-06,-4.041347090249733e-06,-6.804283015798075e-06,-2.0214187710187667e-06,-5.6630651930107136e-06,-4.835538893888311e-07,-1.0998962722823236e-06,1.52278108979569e-06,0.0,0.00020811537627008335,-2.2856996485652733e-07,1.52278108979569e-06,0.0,-1.0998962722823236e-06,-1.0998962722823236e-06,-3.5576622089322336e-05,-9.105257320641352e-07,-0.0004807198227020847,-0.0004628501083502708,-5.5343807677793504e-05,0.0,-0.0008635627046656207,-2.2856996485652733e-07,-2.2856996485652733e-07,0.0,-2.114425956329014e-05,-9.105257320641352e-07,0.009614290256051664,-0.00032991843934179803,1.52278108979569e-06,0.00039275274579237405,0.00011587917568422383,-1.2083630076621522e-06,-9.105257320641352e-07,0.0,3.209070585151807e-05,5.8211525846444766e-05,0.009614290256051664,0.0009556712495071637,4.415230448153152e-05,-3.278359506264212e-06,0.009614290256051664,-0.00017314861585762692,-7.083713344776293e-06,-6.912726156358145e-06,-8.604753317557564e-07,-2.4672556377359983e-06,-2.7780641054114516e-06,-9.182337719212174e-06,0.009614290256051664,-1.0965196954334329e-06,1.0413867678112426e-05,-9.132330632339168e-06,0.009614290256051664,0.009614290256051664,0.009614290256051664,-7.083713344776293e-06,1.9203831891773104e-05,0.009614290256051664,-6.956414939972369e-06,-7.019992342435271e-06,-4.01040042181725e-06
8,AHU-09 RF Air Systems Energy AHU9_RF_VFD_PWR(kWh),6.960320292968927e-05,6.935414460420921e-05,6.94537427631166e-05,0.0008052954647926287,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6990590272986414e-06,-4.51977685574541e-06,-6.69543210563742e-06,-2.7780641054114516e-06,-5.697806172116249e-06,-6.766764771764064e-06,-2.9067423603487226e-06,-4.754879123109631e-06,-2.0264668312161867e-07,-3.3210381591851187e-06,-9.340753496506751e-06,2.105610995542583e-05,-2.7780641054114524e-06,-1.0162716945764475e-05,7.240111618358335e-06,-5.467095634299562e-06,-4.6165599937161645e-07,2.6181899047537013e-06,-6.687994186616012e-06,-4.731115151236833e-06,-6.082279517695071e-06,-2.7780641054114516e-06,-6.000965850691073e-06,-6.724639986827307e-06,-2.79269657751914e-06,-3.554194129222258e-06,4.2495012313334493e-07,-6.737967555358146e-06,-4.4645105862923605e-06,-7.543678379977997e-06,-2.7780641054114516e-06,-4.041347090249733e-06,-6.804283015798075e-06,-2.0214187710187667e-06,-5.6630651930107136e-06,-4.835538893888311e-07,-1.0998962722823236e-06,1.52278108979569e-06,0.0,0.00020811537627008335,-2.2856996485652733e-07,1.52278108979569e-06,0.0,-1.0998962722823236e-06,-1.0998962722823236e-06,-3.5576622089322336e-05,-9.105257320641352e-07,-0.0004807198227020847,-0.0004628501083502708,-5.5343807677793504e-05,0.0,-0.0008635627046656207,-2.2856996485652733e-07,-2.2856996485652733e-07,0.0,-2.114425956329014e-05,-9.105257320641352e-07,0.009614290256051664,-0.00032991843934179803,1.52278108979569e-06,0.00039275274579237405,0.00011587917568422383,-1.2083630076621522e-06,-9.105257320641352e-07,0.0,3.209070585151807e-05,5.8211525846444766e-05,0.009614290256051664,0.0009556712495071637,4.415230448153152e-05,-3.278359506264212e-06,0.009614290256051664,-0.00017314861585762692,-7.083713344776293e-06,-6.912726156358145e-06,-8.604753317557564e-07,-2.4672556377359983e-06,-2.7780641054114516e-06,-9.182337719212174e-06,0.009614290256051664,-1.0965196954334329e-06,1.0413867678112426e-05,-9.132330632339168e-06,0.009614290256051664,0.009614290256051664,0.009614290256051664,-7.083713344776293e-06,1.9203831891773104e-05,0.009614290256051664,-6.956414939972369e-06,-7.019992342435271e-06,-4.01040042181725e-06
9,AHU-09 SF Air Systems Energy AHU9_SF_VFD_PWR(kWh),0.00023040991391503395,0.0002295725092911256,0.0002299183295909633,0.002723050206126811,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6990590272986414e-06,-4.51977685574541e-06,-6.69543210563742e-06,-2.7780641054114516e-06,-5.697806172116249e-06,-6.766764771764064e-06,-2.9067423603487226e-06,-4.754879123109631e-06,-2.0264668312161867e-07,-3.3210381591851187e-06,-9.340753496506751e-06,2.105610995542583e-05,-2.7780641054114524e-06,-1.0162716945764475e-05,7.240111618358335e-06,-5.467095634299562e-06,-4.6165599937161645e-07,2.6181899047537013e-06,-6.687994186616012e-06,-4.731115151236833e-06,-6.082279517695071e-06,-2.7780641054114516e-06,-6.000965850691073e-06,-6.724639986827307e-06,-2.79269657751914e-06,-3.554194129222258e-06,4.2495012313334493e-07,-6.737967555358146e-06,-4.4645105862923605e-06,-7.543678379977997e-06,-2.7780641054114516e-06,-4.041347090249733e-06,-6.804283015798075e-06,-2.0214187710187667e-06,-5.6630651930107136e-06,-4.835538893888311e-07,-1.0998962722823236e-06,1.52278108979569e-06,0.0,0.00020811537627008335,-2.2856996485652733e-07,1.52278108979569e-06,0.0,-1.0998962722823236e-06,-1.0998962722823236e-06,-3.5576622089322336e-05,-9.105257320641352e-07,-0.0004807198227020847,-0.0004628501083502708,-5.5343807677793504e-05,0.0,-0.0008635627046656207,-2.2856996485652733e-07,-2.2856996485652733e-07,0.0,-2.114425956329014e-05,-9.105257320641352e-07,0.009614290256051664,-0.00032991843934179803,1.52278108979569e-06,0.00039275274579237405,0.00011587917568422383,-1.2083630076621522e-06,-9.105257320641352e-07,0.0,3.209070585151807e-05,5.8211525846444766e-05,0.009614290256051664,0.0009556712495071637,4.415230448153152e-05,-3.278359506264212e-06,0.009614290256051664,-0.00017314861585762692,-7.083713344776293e-06,-6.912726156358145e-06,-8.604753317557564e-07,-2.4672556377359983e-06,-2.7780641054114516e-06,-9.182337719212174e-06,0.009614290256051664,-1.0965196954334329e-06,1.0413867678112426e-05,-9.132330632339168e-06,0.009614290256051664,0.009614290256051664,0.009614290256051664,-7.083713344776293e-06,1.9203831891773104e-05,0.009614290256051664,-6.956414939972369e-06,-7.019992342435271e-06,-4.01040042181725e-06
