,hour,date,mean_15,mean_19,std_15,std_19,max_15,max_19,min_15,min_19,mean_1,mean_2,mean_4,mean_5,mean_6,mean_14,mean_18,mean_3,mean_8,std_1,std_2,std_4,std_5,std_6,std_14,std_18,std_3,std_8,max_1,max_2,max_4,max_5,max_6,max_14,max_18,max_3,max_8,min_1,min_2,min_4,min_5,min_6,min_14,min_18,min_3,min_8,mean_9,std_16,max_11,mean_17,min_13,mean_11,std_17,mean_13,max_7,std_9,max_17,max_12,min_9,min_10,min_17,max_9,std_7,min_12,mean_16,min_11,std_0,max_13,std_12,std_13,min_16,mean_0,mean_10,std_11,max_10,min_7,min_0,mean_12,max_0,mean_7,max_16,std_10,urate_0,urate_1,urate_2,urate_3,urate_4,urate_5,urate_6,urate_7,urate_8,urate_9,urate_10,urate_11,urate_12,urate_13,urate_14,urate_15,urate_16,urate_17,urate_18,urate_19
0,0,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.2457791428573,0.0,0.0,439.7773633715414,0.0,0.0,3.9288299347136473,0.0,0.0,6.488415108001794,452.984772,0.0,769.783875,63.948524,429.569031,790.926025,0.0,0.0,0.0,0.0,967313.5502157987,0.0,0.0,0.0,0.0,48085.43472721277,83.7744400892642,0.0,109.4394,0.0,-422.0,0.0,42009320.0,0.0,0.0,7.979736924262861,3.3053104711170302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,829.0,0.0,0.0,0.0,0.0,157.0,0.0,506.0,0.0,85.0
1,1,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.9729731616162,0.0,16.093,438.89592611157883,0.0,16.093,3.909182828938484,0.0,1.44,3.5322655533438656,448.238922,180.0,763.941345,64.442459,429.34411599999993,780.354614,0.0,180.0,294.0,16.093,949140.182004042,0.0,0.0,0.0,294.0,46667.337924303334,80.5960865886076,0.0,104.47711199999999,1.44,-422.0,180.0,42009836.0,1.44,294.0,6.506966222245662,3.420842350590977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,99.0,632.0,1.0,1.0,1.0,0.0,158.0,1.0,475.0,0.0,105.0
2,10,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.2868050000001,0.0,16.093,434.632514861775,0.0,16.093,3.717842512676513,0.0,0.0,3.8269584106079297,443.446411,90.0,762.872986,83.33812,426.69311500000003,779.188416,0.0,90.0,0.0,16.093,927920.4800035612,0.0,0.0,0.0,0.0,44521.032914294934,89.65473099423619,0.0,97.862358,0.0,-422.0,90.0,42014720.0,0.0,0.0,2.453496935341814,3.522723489262527,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,347.0,1.0,1.0,1.0,0.0,181.0,1.0,586.0,0.0,75.0
3,11,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.0342521093748,0.0,16.093,437.8226565055816,0.0,16.093,7.307206329806895,0.0,1.44,4.084619748096748,463.76886,90.0,763.022583,82.202118,426.68222,778.85614,0.0,90.0,0.0,16.093,930412.9317481883,0.0,0.0,0.0,0.0,44785.603669738346,89.96938083597884,0.0,100.64733899999999,1.44,-422.0,90.0,42015288.0,1.44,0.0,3.075339359125523,3.498252039287498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,64.0,378.0,1.0,1.0,1.0,0.0,182.0,1.0,627.0,0.0,78.0
4,12,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.6862855974024,0.0,16.093,442.570992607937,0.4,16.093,6.260807893164257,0.4,1.44,3.614208373178481,462.000763,67.5,763.291504,84.598129,427.764313,774.875183,0.0,67.5,0.0,16.093,930168.2637188911,0.4,0.0,0.0,0.0,44754.969558437326,90.87981026329781,0.0,96.480942,1.44,-422.0,67.5,42015864.0,1.44,0.0,2.020403507291203,3.4967537872482106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,77.0,376.0,1.0,1.0,1.0,0.0,152.0,1.0,630.0,0.0,60.0
5,13,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.1633242465751,0.0,16.093,443.2553518210116,0.0,16.093,4.367144337560402,0.0,1.44,3.629175893783561,454.390167,90.0,763.862732,65.06617,431.116516,774.654785,0.0,90.0,0.0,16.093,937813.1046340447,0.0,0.0,0.0,0.0,45483.513164181706,93.85023521568623,0.0,120.10603299999998,1.44,-422.0,90.0,42016436.0,1.44,0.0,7.965194958734046,3.4434826036290995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,459.0,1.0,1.0,1.0,0.0,149.0,1.0,514.0,0.0,103.0
6,14,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.0024072599999,0.0,16.093,440.6946494999995,0.0,16.093,3.980417869604823,0.0,1.44,4.983508481956904,457.679504,112.5,762.332947,46.549774,430.737732,787.445679,0.0,112.5,72.0,16.093,932244.8374859956,0.0,0.0,0.0,72.0,44965.18782312168,81.04224725032084,0.0,109.70726,1.44,-422.0,112.5,42016976.0,1.44,72.0,10.3089237638149,3.637090061594806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,779.0,1.0,1.0,1.0,0.0,172.0,1.0,552.0,0.0,83.0
7,15,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.2571060695648,0.0,16.093,442.2988084902436,0.0,16.093,4.062633773389276,0.0,4.68,10.46814498657008,460.05490100000003,67.5,765.786743,29.707737,433.293915,815.8255,0.0,67.5,160.0,16.093,931224.3864581861,0.0,0.0,0.0,160.0,44870.95206563818,71.4158820117097,0.0,105.12268099999999,4.68,-422.0,67.5,42017540.0,4.68,160.0,13.88628398983246,3.7288163808889627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,115.0,854.0,1.0,1.0,1.0,0.0,166.0,1.0,410.0,0.0,84.0
8,16,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.1435331764702,0.0,16.093,442.4490041635876,0.0,16.093,3.7686206145955565,0.0,4.68,7.8752678981648865,453.71694899999994,135.0,784.881531,54.416496,433.03784200000007,819.7734379999999,0.0,135.0,165.0,16.093,932867.8434216988,0.0,0.0,0.0,165.0,45042.16512437848,83.15553727283644,0.0,109.088219,4.68,-422.0,135.0,42018088.0,4.68,165.0,10.56067772020473,3.6136174463126354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,85.0,832.0,1.0,1.0,1.0,0.0,181.0,1.0,379.0,0.0,67.0
9,17,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.8519671025638,0.0,16.093,441.48776364048337,0.0,16.093,3.652490664096053,0.0,3.2400000000000007,6.496509622224997,450.349854,135.0,782.434082,24.726059,430.01828,809.4798580000001,0.0,135.0,586.0,16.093,937924.8675146559,0.0,0.0,0.0,586.0,45524.41244984825,72.4931260165289,0.0,105.914864,3.2400000000000007,-422.0,135.0,42018604.0,3.2400000000000007,586.0,16.166624534476686,3.5122357249875145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.0,847.0,1.0,1.0,1.0,0.0,158.0,1.0,331.0,0.0,86.0
10,18,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.330421,0.0,16.093,441.50985030503955,0.0,16.093,3.934610371087289,0.0,0.0,5.080193122328759,454.584869,180.0,786.319092,71.605476,432.165771,812.5236820000001,0.0,180.0,373.0,16.093,926570.8711137661,0.0,0.0,0.0,373.0,44475.418564033214,737.9153058685116,0.0,1209.432617,0.0,-422.0,180.0,42019184.0,0.0,373.0,531.4237397904325,4.359580489429,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89.0,578.0,1.0,1.0,1.0,0.0,175.0,1.0,377.0,0.0,59.0
11,19,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.780706369748,0.0,16.093,440.74369126071406,0.0,16.093,3.701871099481113,0.0,1.44,5.045073600169946,447.63336200000003,157.5,784.341614,24.717121,432.567383,806.544617,0.0,157.5,627.0,16.093,938746.2309895686,0.0,0.0,0.0,627.0,45625.82429561166,469.06091735445244,0.0,1174.932495,1.44,-422.0,157.5,42019760.0,1.44,627.0,515.8880388335427,4.093224571333445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,119.0,584.0,1.0,1.0,1.0,0.0,149.0,1.0,280.0,0.0,99.0
12,2,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.9282820769229,0.0,16.093,441.5344587756812,0.0,16.093,3.616118574739918,0.0,1.44,3.7999380070567823,449.96392799999995,180.0,768.500488,69.965279,432.1022950000001,784.093811,0.0,180.0,247.0,16.093,942945.1964500635,0.0,0.0,0.0,247.0,46062.339363416475,85.71134881360548,0.0,106.27288099999998,1.44,-422.0,180.0,42010356.0,1.44,247.0,6.326780272355108,3.5500249708673213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.0,735.0,1.0,1.0,1.0,0.0,169.0,1.0,477.0,0.0,87.0
13,20,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.8901372031252,0.0,16.093,437.898766948403,0.0,16.093,4.538619606959047,0.0,1.44,13.19716294836379,463.360962,225.0,768.746033,68.396233,426.95773299999996,816.363831,0.0,225.0,819.0,16.093,940426.0792443019,0.0,0.0,0.0,819.0,45784.335236277206,80.73717210505046,0.0,91.639481,1.44,-562.531128,225.0,42020284.0,1.44,819.0,4.841423561319314,3.551523222906609,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,128.0,495.0,1.0,1.0,1.0,0.0,172.0,1.0,407.0,0.0,92.0
14,21,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.5025841279071,0.0,16.093,441.6207289465646,0.0,16.093,10.522721085098487,0.0,1.44,3.73181738098899,465.316803,225.0,763.47644,42.426018,426.29657,779.662292,0.0,225.0,536.0,16.093,937621.7609392464,0.0,0.0,0.0,536.0,45511.873644075065,68.73848776068381,0.0,83.28167,1.44,-557.570557,225.0,42020804.0,1.44,536.0,7.573743295447014,3.568170467787581,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86.0,468.0,1.0,1.0,1.0,0.0,151.0,1.0,393.0,0.0,118.0
15,22,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.0885797236845,0.0,16.093,437.38489775342464,0.0,16.093,3.564172892937551,0.0,1.44,3.6290730269609233,445.13479600000005,247.5,769.402039,46.898991,428.7831729999999,784.763916,0.0,247.5,580.0,16.093,942201.3301142128,0.0,0.0,0.0,580.0,45985.59021842685,69.56459148034932,0.0,83.277809,1.44,-422.0,247.5,42021348.0,1.44,580.0,6.394812583416602,3.4794406525719994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,458.0,1.0,1.0,1.0,0.0,174.0,1.0,365.0,0.0,95.0
