,uniqueId,max,min,mean,std,update_rate
170,Rm 6102 EF-08 Floor 6 Energy EF_08_VFD_PWR(kWh)_TL,575.946228,571.246338,573.5963301789473,1.37834956606207,1.3194444444444444
171,Rm 6203G EF-13 Floor 6 Energy EF_13_VFD_PWR(kWh),264.7911788253968,262.8287293968254,263.8126373571428,0.5762104031538968,1.75
172,Rm 6206B EF-11 Floor 6 Energy EF_11_VFD_PWR(kWh),1559.6303238015873,1547.8555799920634,1553.7590806428568,3.4572649843135372,1.75
173,Rm 6206D EF-12 Floor 6 Energy EF_12_VFD_PWR(kWh),909.8137787539682,908.0395086746031,908.9271231190484,0.5207277137324741,1.75
174,Rm B409B EF-33 Floor 0 Energy EF_33_VFD_PWR(kWh),3962.1935441023625,3932.897214527559,3947.5454177716488,8.619258097056825,1.7638888888888888
175,Rm B503 EF-34 Floor 0 Energy EF_34_VFD_PWR(kWh),3698.047088094488,3670.7039577401574,3684.375644,8.0446247550064,1.7638888888888888
176,Rm B605 EF-35 Floor 0 Energy EF_35_VFD_PWR(kWh),3972.0243948650796,3942.6799526746036,3957.352265785709,8.63310433657726,1.75
177,Cooling Plant CT-1A Hydronic Systems Energy CT1A_VFD_PWR(kWh),84.752083,84.433327,84.52567200000001,0.10725435770108496,0.4444444444444444
178,Cooling Plant CT-1B Hydronic Systems Energy CT1B_VFD_PWR(kWh),27.979259,27.901762,27.94051399999999,0.023451955106614963,0.4444444444444444
179,Cooling Plant CT-1C Hydronic Systems Energy CT1C_VFD_PWR(kWh),47.755718,45.603508,46.12808562500001,0.7467666173124696,0.4444444444444444
